fips,name,measure,year,value,unit,source,note
15,Hawaii (state),direct_farms,2022,1368,farms,"USDA NASS, 2022 Census of Agriculture, Volume 1 Chapter 2 (Hawaii county data), Table 2: Market Value of Agricultural Products Sold Including Food Marketing Practices and Value-Added Products; state figures from the same table",Value of food sold directly to consumers
15,Hawaii (state),direct_farms,2017,1612,farms,"USDA NASS, 2022 Census of Agriculture, Volume 1 Chapter 2 (Hawaii county data), Table 2: Market Value of Agricultural Products Sold Including Food Marketing Practices and Value-Added Products; state figures from the same table",Value of food sold directly to consumers
15,Hawaii (state),direct_usd,2022,42984000,USD,"USDA NASS, 2022 Census of Agriculture, Volume 1 Chapter 2 (Hawaii county data), Table 2: Market Value of Agricultural Products Sold Including Food Marketing Practices and Value-Added Products; state figures from the same table",Value of food sold directly to consumers
15,Hawaii (state),direct_usd,2017,27882000,USD,"USDA NASS, 2022 Census of Agriculture, Volume 1 Chapter 2 (Hawaii county data), Table 2: Market Value of Agricultural Products Sold Including Food Marketing Practices and Value-Added Products; state figures from the same table",Value of food sold directly to consumers
15,Hawaii (state),retail_inst_hubs_farms,2022,1226,farms,"USDA NASS, 2022 Census of Agriculture, Volume 1 Chapter 2 (Hawaii county data), Table 2: Market Value of Agricultural Products Sold Including Food Marketing Practices and Value-Added Products; state figures from the same table","Value of food sold directly to retail markets, institutions, and food hubs for local or regionally branded products"
15,Hawaii (state),retail_inst_hubs_farms,2017,878,farms,"USDA NASS, 2022 Census of Agriculture, Volume 1 Chapter 2 (Hawaii county data), Table 2: Market Value of Agricultural Products Sold Including Food Marketing Practices and Value-Added Products; state figures from the same table","Value of food sold directly to retail markets, institutions, and food hubs for local or regionally branded products"
15,Hawaii (state),retail_inst_hubs_usd,2022,187169000,USD,"USDA NASS, 2022 Census of Agriculture, Volume 1 Chapter 2 (Hawaii county data), Table 2: Market Value of Agricultural Products Sold Including Food Marketing Practices and Value-Added Products; state figures from the same table","Value of food sold directly to retail markets, institutions, and food hubs for local or regionally branded products"
15,Hawaii (state),retail_inst_hubs_usd,2017,124519000,USD,"USDA NASS, 2022 Census of Agriculture, Volume 1 Chapter 2 (Hawaii county data), Table 2: Market Value of Agricultural Products Sold Including Food Marketing Practices and Value-Added Products; state figures from the same table","Value of food sold directly to retail markets, institutions, and food hubs for local or regionally branded products"
15,Hawaii (state),value_added_farms,2022,504,farms,"USDA NASS, 2022 Census of Agriculture, Volume 1 Chapter 2 (Hawaii county data), Table 2: Market Value of Agricultural Products Sold Including Food Marketing Practices and Value-Added Products; state figures from the same table",Value of processed or value-added agricultural products sold
15,Hawaii (state),value_added_farms,2017,567,farms,"USDA NASS, 2022 Census of Agriculture, Volume 1 Chapter 2 (Hawaii county data), Table 2: Market Value of Agricultural Products Sold Including Food Marketing Practices and Value-Added Products; state figures from the same table",Value of processed or value-added agricultural products sold
15,Hawaii (state),value_added_usd,2022,119630000,USD,"USDA NASS, 2022 Census of Agriculture, Volume 1 Chapter 2 (Hawaii county data), Table 2: Market Value of Agricultural Products Sold Including Food Marketing Practices and Value-Added Products; state figures from the same table",Value of processed or value-added agricultural products sold
15,Hawaii (state),value_added_usd,2017,107216000,USD,"USDA NASS, 2022 Census of Agriculture, Volume 1 Chapter 2 (Hawaii county data), Table 2: Market Value of Agricultural Products Sold Including Food Marketing Practices and Value-Added Products; state figures from the same table",Value of processed or value-added agricultural products sold
15001,Hawaii County,direct_farms,2022,640,farms,"USDA NASS, 2022 Census of Agriculture, Volume 1 Chapter 2 (Hawaii county data), Table 2: Market Value of Agricultural Products Sold Including Food Marketing Practices and Value-Added Products; state figures from the same table",Value of food sold directly to consumers
15001,Hawaii County,direct_farms,2017,795,farms,"USDA NASS, 2022 Census of Agriculture, Volume 1 Chapter 2 (Hawaii county data), Table 2: Market Value of Agricultural Products Sold Including Food Marketing Practices and Value-Added Products; state figures from the same table",Value of food sold directly to consumers
15001,Hawaii County,direct_usd,2022,24342000,USD,"USDA NASS, 2022 Census of Agriculture, Volume 1 Chapter 2 (Hawaii county data), Table 2: Market Value of Agricultural Products Sold Including Food Marketing Practices and Value-Added Products; state figures from the same table",Value of food sold directly to consumers
15001,Hawaii County,direct_usd,2017,16999000,USD,"USDA NASS, 2022 Census of Agriculture, Volume 1 Chapter 2 (Hawaii county data), Table 2: Market Value of Agricultural Products Sold Including Food Marketing Practices and Value-Added Products; state figures from the same table",Value of food sold directly to consumers
15001,Hawaii County,retail_inst_hubs_farms,2022,635,farms,"USDA NASS, 2022 Census of Agriculture, Volume 1 Chapter 2 (Hawaii county data), Table 2: Market Value of Agricultural Products Sold Including Food Marketing Practices and Value-Added Products; state figures from the same table","Value of food sold directly to retail markets, institutions, and food hubs for local or regionally branded products"
15001,Hawaii County,retail_inst_hubs_farms,2017,446,farms,"USDA NASS, 2022 Census of Agriculture, Volume 1 Chapter 2 (Hawaii county data), Table 2: Market Value of Agricultural Products Sold Including Food Marketing Practices and Value-Added Products; state figures from the same table","Value of food sold directly to retail markets, institutions, and food hubs for local or regionally branded products"
15001,Hawaii County,retail_inst_hubs_usd,2022,110049000,USD,"USDA NASS, 2022 Census of Agriculture, Volume 1 Chapter 2 (Hawaii county data), Table 2: Market Value of Agricultural Products Sold Including Food Marketing Practices and Value-Added Products; state figures from the same table","Value of food sold directly to retail markets, institutions, and food hubs for local or regionally branded products"
15001,Hawaii County,retail_inst_hubs_usd,2017,78288000,USD,"USDA NASS, 2022 Census of Agriculture, Volume 1 Chapter 2 (Hawaii county data), Table 2: Market Value of Agricultural Products Sold Including Food Marketing Practices and Value-Added Products; state figures from the same table","Value of food sold directly to retail markets, institutions, and food hubs for local or regionally branded products"
15001,Hawaii County,value_added_farms,2022,281,farms,"USDA NASS, 2022 Census of Agriculture, Volume 1 Chapter 2 (Hawaii county data), Table 2: Market Value of Agricultural Products Sold Including Food Marketing Practices and Value-Added Products; state figures from the same table",Value of processed or value-added agricultural products sold
15001,Hawaii County,value_added_farms,2017,313,farms,"USDA NASS, 2022 Census of Agriculture, Volume 1 Chapter 2 (Hawaii county data), Table 2: Market Value of Agricultural Products Sold Including Food Marketing Practices and Value-Added Products; state figures from the same table",Value of processed or value-added agricultural products sold
15001,Hawaii County,value_added_usd,2022,77768000,USD,"USDA NASS, 2022 Census of Agriculture, Volume 1 Chapter 2 (Hawaii county data), Table 2: Market Value of Agricultural Products Sold Including Food Marketing Practices and Value-Added Products; state figures from the same table",Value of processed or value-added agricultural products sold
15001,Hawaii County,value_added_usd,2017,76596000,USD,"USDA NASS, 2022 Census of Agriculture, Volume 1 Chapter 2 (Hawaii county data), Table 2: Market Value of Agricultural Products Sold Including Food Marketing Practices and Value-Added Products; state figures from the same table",Value of processed or value-added agricultural products sold
15003,Honolulu County,direct_farms,2022,228,farms,"USDA NASS, 2022 Census of Agriculture, Volume 1 Chapter 2 (Hawaii county data), Table 2: Market Value of Agricultural Products Sold Including Food Marketing Practices and Value-Added Products; state figures from the same table",Value of food sold directly to consumers
15003,Honolulu County,direct_farms,2017,205,farms,"USDA NASS, 2022 Census of Agriculture, Volume 1 Chapter 2 (Hawaii county data), Table 2: Market Value of Agricultural Products Sold Including Food Marketing Practices and Value-Added Products; state figures from the same table",Value of food sold directly to consumers
15003,Honolulu County,direct_usd,2022,8314000,USD,"USDA NASS, 2022 Census of Agriculture, Volume 1 Chapter 2 (Hawaii county data), Table 2: Market Value of Agricultural Products Sold Including Food Marketing Practices and Value-Added Products; state figures from the same table",Value of food sold directly to consumers
15003,Honolulu County,direct_usd,2017,6818000,USD,"USDA NASS, 2022 Census of Agriculture, Volume 1 Chapter 2 (Hawaii county data), Table 2: Market Value of Agricultural Products Sold Including Food Marketing Practices and Value-Added Products; state figures from the same table",Value of food sold directly to consumers
15003,Honolulu County,retail_inst_hubs_farms,2022,214,farms,"USDA NASS, 2022 Census of Agriculture, Volume 1 Chapter 2 (Hawaii county data), Table 2: Market Value of Agricultural Products Sold Including Food Marketing Practices and Value-Added Products; state figures from the same table","Value of food sold directly to retail markets, institutions, and food hubs for local or regionally branded products"
15003,Honolulu County,retail_inst_hubs_farms,2017,133,farms,"USDA NASS, 2022 Census of Agriculture, Volume 1 Chapter 2 (Hawaii county data), Table 2: Market Value of Agricultural Products Sold Including Food Marketing Practices and Value-Added Products; state figures from the same table","Value of food sold directly to retail markets, institutions, and food hubs for local or regionally branded products"
15003,Honolulu County,retail_inst_hubs_usd,2022,55467000,USD,"USDA NASS, 2022 Census of Agriculture, Volume 1 Chapter 2 (Hawaii county data), Table 2: Market Value of Agricultural Products Sold Including Food Marketing Practices and Value-Added Products; state figures from the same table","Value of food sold directly to retail markets, institutions, and food hubs for local or regionally branded products"
15003,Honolulu County,retail_inst_hubs_usd,2017,32914000,USD,"USDA NASS, 2022 Census of Agriculture, Volume 1 Chapter 2 (Hawaii county data), Table 2: Market Value of Agricultural Products Sold Including Food Marketing Practices and Value-Added Products; state figures from the same table","Value of food sold directly to retail markets, institutions, and food hubs for local or regionally branded products"
15003,Honolulu County,value_added_farms,2022,70,farms,"USDA NASS, 2022 Census of Agriculture, Volume 1 Chapter 2 (Hawaii county data), Table 2: Market Value of Agricultural Products Sold Including Food Marketing Practices and Value-Added Products; state figures from the same table",Value of processed or value-added agricultural products sold
15003,Honolulu County,value_added_farms,2017,57,farms,"USDA NASS, 2022 Census of Agriculture, Volume 1 Chapter 2 (Hawaii county data), Table 2: Market Value of Agricultural Products Sold Including Food Marketing Practices and Value-Added Products; state figures from the same table",Value of processed or value-added agricultural products sold
15003,Honolulu County,value_added_usd,2022,18129000,USD,"USDA NASS, 2022 Census of Agriculture, Volume 1 Chapter 2 (Hawaii county data), Table 2: Market Value of Agricultural Products Sold Including Food Marketing Practices and Value-Added Products; state figures from the same table",Value of processed or value-added agricultural products sold
15003,Honolulu County,value_added_usd,2017,12139000,USD,"USDA NASS, 2022 Census of Agriculture, Volume 1 Chapter 2 (Hawaii county data), Table 2: Market Value of Agricultural Products Sold Including Food Marketing Practices and Value-Added Products; state figures from the same table",Value of processed or value-added agricultural products sold
15007,Kauai County,direct_farms,2022,155,farms,"USDA NASS, 2022 Census of Agriculture, Volume 1 Chapter 2 (Hawaii county data), Table 2: Market Value of Agricultural Products Sold Including Food Marketing Practices and Value-Added Products; state figures from the same table",Value of food sold directly to consumers
15007,Kauai County,direct_farms,2017,197,farms,"USDA NASS, 2022 Census of Agriculture, Volume 1 Chapter 2 (Hawaii county data), Table 2: Market Value of Agricultural Products Sold Including Food Marketing Practices and Value-Added Products; state figures from the same table",Value of food sold directly to consumers
15007,Kauai County,direct_usd,2022,2337000,USD,"USDA NASS, 2022 Census of Agriculture, Volume 1 Chapter 2 (Hawaii county data), Table 2: Market Value of Agricultural Products Sold Including Food Marketing Practices and Value-Added Products; state figures from the same table",Value of food sold directly to consumers
15007,Kauai County,direct_usd,2017,1458000,USD,"USDA NASS, 2022 Census of Agriculture, Volume 1 Chapter 2 (Hawaii county data), Table 2: Market Value of Agricultural Products Sold Including Food Marketing Practices and Value-Added Products; state figures from the same table",Value of food sold directly to consumers
15007,Kauai County,retail_inst_hubs_farms,2022,129,farms,"USDA NASS, 2022 Census of Agriculture, Volume 1 Chapter 2 (Hawaii county data), Table 2: Market Value of Agricultural Products Sold Including Food Marketing Practices and Value-Added Products; state figures from the same table","Value of food sold directly to retail markets, institutions, and food hubs for local or regionally branded products"
15007,Kauai County,retail_inst_hubs_farms,2017,105,farms,"USDA NASS, 2022 Census of Agriculture, Volume 1 Chapter 2 (Hawaii county data), Table 2: Market Value of Agricultural Products Sold Including Food Marketing Practices and Value-Added Products; state figures from the same table","Value of food sold directly to retail markets, institutions, and food hubs for local or regionally branded products"
15007,Kauai County,retail_inst_hubs_usd,2022,12649000,USD,"USDA NASS, 2022 Census of Agriculture, Volume 1 Chapter 2 (Hawaii county data), Table 2: Market Value of Agricultural Products Sold Including Food Marketing Practices and Value-Added Products; state figures from the same table","Value of food sold directly to retail markets, institutions, and food hubs for local or regionally branded products"
15007,Kauai County,retail_inst_hubs_usd,2017,5273000,USD,"USDA NASS, 2022 Census of Agriculture, Volume 1 Chapter 2 (Hawaii county data), Table 2: Market Value of Agricultural Products Sold Including Food Marketing Practices and Value-Added Products; state figures from the same table","Value of food sold directly to retail markets, institutions, and food hubs for local or regionally branded products"
15007,Kauai County,value_added_farms,2022,36,farms,"USDA NASS, 2022 Census of Agriculture, Volume 1 Chapter 2 (Hawaii county data), Table 2: Market Value of Agricultural Products Sold Including Food Marketing Practices and Value-Added Products; state figures from the same table",Value of processed or value-added agricultural products sold
15007,Kauai County,value_added_farms,2017,59,farms,"USDA NASS, 2022 Census of Agriculture, Volume 1 Chapter 2 (Hawaii county data), Table 2: Market Value of Agricultural Products Sold Including Food Marketing Practices and Value-Added Products; state figures from the same table",Value of processed or value-added agricultural products sold
15007,Kauai County,value_added_usd,2022,3280000,USD,"USDA NASS, 2022 Census of Agriculture, Volume 1 Chapter 2 (Hawaii county data), Table 2: Market Value of Agricultural Products Sold Including Food Marketing Practices and Value-Added Products; state figures from the same table",Value of processed or value-added agricultural products sold
15007,Kauai County,value_added_usd,2017,2112000,USD,"USDA NASS, 2022 Census of Agriculture, Volume 1 Chapter 2 (Hawaii county data), Table 2: Market Value of Agricultural Products Sold Including Food Marketing Practices and Value-Added Products; state figures from the same table",Value of processed or value-added agricultural products sold
15009,Maui County,direct_farms,2022,345,farms,"USDA NASS, 2022 Census of Agriculture, Volume 1 Chapter 2 (Hawaii county data), Table 2: Market Value of Agricultural Products Sold Including Food Marketing Practices and Value-Added Products; state figures from the same table",Value of food sold directly to consumers
15009,Maui County,direct_farms,2017,415,farms,"USDA NASS, 2022 Census of Agriculture, Volume 1 Chapter 2 (Hawaii county data), Table 2: Market Value of Agricultural Products Sold Including Food Marketing Practices and Value-Added Products; state figures from the same table",Value of food sold directly to consumers
15009,Maui County,direct_usd,2022,7991000,USD,"USDA NASS, 2022 Census of Agriculture, Volume 1 Chapter 2 (Hawaii county data), Table 2: Market Value of Agricultural Products Sold Including Food Marketing Practices and Value-Added Products; state figures from the same table",Value of food sold directly to consumers
15009,Maui County,direct_usd,2017,2607000,USD,"USDA NASS, 2022 Census of Agriculture, Volume 1 Chapter 2 (Hawaii county data), Table 2: Market Value of Agricultural Products Sold Including Food Marketing Practices and Value-Added Products; state figures from the same table",Value of food sold directly to consumers
15009,Maui County,retail_inst_hubs_farms,2022,248,farms,"USDA NASS, 2022 Census of Agriculture, Volume 1 Chapter 2 (Hawaii county data), Table 2: Market Value of Agricultural Products Sold Including Food Marketing Practices and Value-Added Products; state figures from the same table","Value of food sold directly to retail markets, institutions, and food hubs for local or regionally branded products"
15009,Maui County,retail_inst_hubs_farms,2017,194,farms,"USDA NASS, 2022 Census of Agriculture, Volume 1 Chapter 2 (Hawaii county data), Table 2: Market Value of Agricultural Products Sold Including Food Marketing Practices and Value-Added Products; state figures from the same table","Value of food sold directly to retail markets, institutions, and food hubs for local or regionally branded products"
15009,Maui County,retail_inst_hubs_usd,2022,9003000,USD,"USDA NASS, 2022 Census of Agriculture, Volume 1 Chapter 2 (Hawaii county data), Table 2: Market Value of Agricultural Products Sold Including Food Marketing Practices and Value-Added Products; state figures from the same table","Value of food sold directly to retail markets, institutions, and food hubs for local or regionally branded products"
15009,Maui County,retail_inst_hubs_usd,2017,8045000,USD,"USDA NASS, 2022 Census of Agriculture, Volume 1 Chapter 2 (Hawaii county data), Table 2: Market Value of Agricultural Products Sold Including Food Marketing Practices and Value-Added Products; state figures from the same table","Value of food sold directly to retail markets, institutions, and food hubs for local or regionally branded products"
15009,Maui County,value_added_farms,2022,117,farms,"USDA NASS, 2022 Census of Agriculture, Volume 1 Chapter 2 (Hawaii county data), Table 2: Market Value of Agricultural Products Sold Including Food Marketing Practices and Value-Added Products; state figures from the same table",Value of processed or value-added agricultural products sold
15009,Maui County,value_added_farms,2017,138,farms,"USDA NASS, 2022 Census of Agriculture, Volume 1 Chapter 2 (Hawaii county data), Table 2: Market Value of Agricultural Products Sold Including Food Marketing Practices and Value-Added Products; state figures from the same table",Value of processed or value-added agricultural products sold
15009,Maui County,value_added_usd,2022,20453000,USD,"USDA NASS, 2022 Census of Agriculture, Volume 1 Chapter 2 (Hawaii county data), Table 2: Market Value of Agricultural Products Sold Including Food Marketing Practices and Value-Added Products; state figures from the same table",Value of processed or value-added agricultural products sold
15009,Maui County,value_added_usd,2017,16369000,USD,"USDA NASS, 2022 Census of Agriculture, Volume 1 Chapter 2 (Hawaii county data), Table 2: Market Value of Agricultural Products Sold Including Food Marketing Practices and Value-Added Products; state figures from the same table",Value of processed or value-added agricultural products sold
