agency,unit,period,period_type,year,total,local,pct,basis,url,note
Department of Education,School Food Services Branch; all public school meals,Jan to Oct 2022,CY,2022,50518995.61,,6.2,"All food purchased, share of total food cost; partial calendar year as first reported",https://hawaiipublicschools.org/wp-content/uploads/DOE_REPORT2023_LocalMeals.pdf,"Local dollars not stated in the report. Report to the 2023 Legislature."
Department of Education,School Food Services Branch; all public school meals,SY 2022-23,SY,2023,64111718.15,,6.14,"All food purchased July 2022 to June 2023, share of total food cost",https://hawaiipublicschools.org/wp-content/uploads/DOE_REPORT2024_LOCALMEALS.pdf,"Local dollars not stated. Produce 2.10%, beef and dairy 4.04% combined. Report to the 2024 Legislature."
Department of Education,School Food Services Branch; all public school meals,SY 2023-24,SY,2024,82018139.62,4452525.83,5.43,"All food purchased July 2023 to June 2024, share of total food cost",https://hawaiipublicschools.org/wp-content/uploads/DOE_REPORT2025_F2S.pdf,"Produce 1.83%, meat 3.00%, dairy 0.51%, bottled water 0.06%, poi 0.03%. The report attributes the decline from 6.14% to food price inflation. Report to the 2025 Legislature."
Department of Education,School Food Services Branch; all public school meals,SY 2024-25,SY,2025,77363171.08,5029704.86,6.5,"All food purchased July 2024 to June 2025, share of total food cost",https://hawaiipublicschools.org/wp-content/uploads/DOE_REPORT2026_LocalMealandFarmtoSchool.pdf,"Produce 2.34%, meat 2.88%, dairy 1.25%, special events 0.03%. The report states the total as $77,363,171.08 in one place and $77,363,717.08 in another. Report to the 2026 Legislature."
Department of Health,Hawaii State Hospital only; the Hansen's Disease facility cannot report,CY 2023,CY,2023,140203,49430,35,"Produce purchased at the hospital, share of total produce cost (not all food)",https://health.hawaii.gov/opppd/files/2024/03/39_HTH_Act187-SLH2021-LocalProduce.pdf,"Report filed February 2024 for the 2024 Legislature."
Department of Health,Hawaii State Hospital only; the Hansen's Disease facility cannot report,CY 2024,CY,2024,240246.60,37221.89,15.9,"Produce purchased at the hospital, share of total produce cost (not all food)",https://health.hawaii.gov/opppd/files/2026/02/CDPHND_HSH-local-food-purchase-AR-to-2025Leg.pdf,"The stated dollars imply 15.5%; the report states 15.9%. Report for the 2025 Legislature."
Department of Health,Hawaii State Hospital only; the Hansen's Disease facility cannot report,CY 2025,CY,2025,273786.60,42157.08,15.4,"Produce purchased at the hospital, share of total produce cost (not all food)",https://health.hawaii.gov/opppd/files/2025/12/CDPHND_HSH-Agriculture-AR-to-2026Leg_sub-20251229.pdf,"Report filed December 2025 for the 2026 Legislature. Local dollars fell from $49,430 in 2023 while total produce spending nearly doubled."
Department of Corrections and Rehabilitation,All public prisons,FY 2023,FY,2023,8899125.95,306386.93,3.44,"Local produce as a share of all food purchased (the report says 'produce' but totals all food)",https://dcr.hawaii.gov/wp-content/uploads/2024/12/Act-176-HRS-353H-Benchmarks-for-Purchase-of-Fresh-Local-Agricultural-Products-12-27-2023.pdf,"Fiscal year ending June 2023. Report dated December 2023."
Department of Corrections and Rehabilitation,All public prisons,FY 2024,FY,2024,10517613.03,373191.83,3.55,"Fresh local agricultural and local value-added products as a share of all food purchased (amended report)",https://dcr.hawaii.gov/wp-content/uploads/2025/01/2025-REPORT-TO-LEG-ACT-176-AS-AMENDED-BY-ACT-144-BENCHMARKS-FOR-PURCHASE-OF-LOCAL-AGRICULTURE-PRODUCTS.pdf,"A companion report on the produce basis states $371,619.83 and 3.53%. Report dated December 2024."
Department of Corrections and Rehabilitation,All public prisons,FY 2025,FY,2025,10311428.19,429554.87,4.17,"Fresh local agricultural products as a share of all food purchased, including $107,909.84 of produce grown at DCR facilities",https://dcr.hawaii.gov/wp-content/uploads/2025/12/2026-REPORT-TO-LEG-Report-on-the-Percentage.pdf,"Local fruit and vegetables $195,737.03, facility-grown $107,909.84, beef $125,908.00. Report dated December 2025."
