level,fips,name,measure,value,source,note
state,15,Hawaii,fi_hh,32.3,"The State of Food Insecurity in Hawaii 2024-2025 (Hawaii Foodbank, Maui Food Bank, The Food Basket; Pirkle Epidemiology and Evaluation Consulting, Ward Research), Table 2","Low food security 11.1% + very low 21.2% of households, weighted; n=1,009; survey fielded spring 2024 to spring 2025 on the USDA six-item and household modules"
state,15,Hawaii,fi_hh_2023,30,"same report, executive summary","2023 wave estimate for comparison"
state,15,Hawaii,fi_child,34,"same report, Table 5","Food insecurity among children, statewide"
county,15003,Honolulu,fi_hh,24.8,"same report, Table 8 (n=418)","Low 9.1% + very low 15.7%; executive summary rounds to 25%"
county,15001,Hawaii,fi_hh,42.7,"same report, Table 9 (n=196)","Low 13.0% + very low 29.7%; executive summary says around 40%; two thirds of it is very low food security"
county,15009,Maui,fi_hh,41.1,"same report, Table 10 (n=198)","Low 11.4% + very low 29.7%; executive summary says around 40%"
county,15007,Kauai,fi_hh,31.8,"same report, Table 11 (n=197)","Food secure: No 31.8% (95% CI 22.8 to 42.4); the 2023 wave estimated 22.5%"
county,15007,Kauai,fi_hh_2023,22.5,"same report, Table 11 commentary","2023 wave; the lowest in the state that year"
state,15,Hawaii,alice_below,40,"ALICE in Hawaii: 2024 Facts and Figures (Aloha United Way, January 2025), Households by County","Households below the ALICE Threshold: poverty 12% + ALICE 29%; survey of full-time residents June to September 2024, weighted to ACS. Was 43% in 2022."
state,15,Hawaii,alice_alice,29,"same report","Asset Limited, Income Constrained, Employed: above poverty, below the household survival budget"
state,15,Hawaii,alice_poverty,12,"same report","Households below the federal poverty level"
county,15003,Honolulu,alice_below,37,"same report, Households by County","Poverty 11% + ALICE 26%"
county,15003,Honolulu,alice_alice,26,"same report",""
county,15003,Honolulu,alice_poverty,11,"same report",""
county,15001,Hawaii,alice_below,48,"same report, Households by County","Poverty 18% + ALICE 30%"
county,15001,Hawaii,alice_alice,30,"same report",""
county,15001,Hawaii,alice_poverty,18,"same report",""
county,15009,Maui,alice_below,53,"same report, Households by County","Poverty 10% + ALICE 43%; the ALICE share rose 9 points since 2022, after the August 2023 wildfires"
county,15009,Maui,alice_alice,43,"same report",""
county,15009,Maui,alice_poverty,10,"same report",""
county,15007,Kauai,alice_below,38,"same report, Households by County","Poverty 7% + ALICE 31%"
county,15007,Kauai,alice_alice,31,"same report",""
county,15007,Kauai,alice_poverty,7,"same report",""
state,15,Hawaii,alice_food,46,"same report, Household Challenges","Share of households below the ALICE Threshold that had an instance of not having enough food and no money to get more; 22% of households above the poverty line face food insecurity"
