buyer_id,period,year,category,county,fips,dollars,source
inst:doe,SY 2024-25,2025,Local fresh produce,Honolulu,15003,744502.39,"DOE report to the 2026 Legislature, Table 1"
inst:doe,SY 2024-25,2025,Local fresh produce,Maui,15009,584585.67,"same, Table 1"
inst:doe,SY 2024-25,2025,Local fresh produce,Hawaii,15001,397983.95,"same, Table 1"
inst:doe,SY 2024-25,2025,Local fresh produce,Kauai,15007,82618.76,"same, Table 1"
inst:doe,SY 2024-25,2025,Local ground beef,Honolulu,15003,1496633.54,"same, Table 2"
inst:doe,SY 2024-25,2025,Local ground beef,Hawaii,15001,361557.20,"same, Table 2"
inst:doe,SY 2024-25,2025,Local ground beef,Maui,15009,239720.69,"same, Table 2"
inst:doe,SY 2024-25,2025,Local ground beef,Kauai,15007,130188.00,"same, Table 2"
inst:doe,SY 2024-25,2025,Local dairy,Hawaii,15001,933509.32,"same, Table 3 (printed as $933,509.321)"
inst:doe,SY 2024-25,2025,Local dairy,Honolulu,15003,31037.16,"same, Table 3"
inst:doe,SY 2024-25,2025,Local dairy,Maui,15009,2022.86,"same, Table 3"
inst:doe,SY 2024-25,2025,Local dairy,Kauai,15007,615.16,"same, Table 3"
inst:doe,SY 2023-24,2024,Local fresh produce,Honolulu,15003,573757.83,"DOE report to the 2025 Legislature, Table 1"
inst:doe,SY 2023-24,2024,Local fresh produce,Maui,15009,513867.63,"same, Table 1"
inst:doe,SY 2023-24,2024,Local fresh produce,Hawaii,15001,352273.72,"same, Table 1"
inst:doe,SY 2023-24,2024,Local fresh produce,Kauai,15007,57551.83,"same, Table 1"
inst:doe,SY 2023-24,2024,Local ground beef,Honolulu,15003,1579457.54,"same, Table 2"
inst:doe,SY 2023-24,2024,Local ground beef,Hawaii,15001,463765.68,"same, Table 2"
inst:doe,SY 2023-24,2024,Local ground beef,Maui,15009,275454.44,"same, Table 2"
inst:doe,SY 2023-24,2024,Local ground beef,Kauai,15007,143260.00,"same, Table 2"
inst:doe,SY 2023-24,2024,Local dairy,Hawaii,15001,412574.31,"same, Table 3"
inst:doe,SY 2023-24,2024,Local dairy,Honolulu,15003,4517.50,"same, Table 3"
