buyer,buyer_id,vendor,vendor_id,vendor_city,vendor_county,category,period,year,share_pct,total_food_cost,dollars,source,note
Hawaii State Department of Education (school meals),inst:doe,Palama Meat Co. Inc.,vendor:palama-meat,Honolulu,15003,Local ground beef,SY 2024-25,2025,1.93,77363171.08,1493109,"DOE report to the 2026 Legislature, Table 6 (share of total food cost)","Dollars = share x reported total food cost; the report gives shares, not dollars, by vendor"
Hawaii State Department of Education (school meals),inst:doe,Y. Hata & Co. Ltd.,vendor:y-hata,Honolulu,15003,Local ground beef,SY 2024-25,2025,0.66,77363171.08,510597,"DOE report to the 2026 Legislature, Table 6","Dollars = share x total"
Hawaii State Department of Education (school meals),inst:doe,Maui Cattle Company LLC,vendor:maui-cattle,Kahului,15009,Local ground beef,SY 2024-25,2025,0.29,77363171.08,224353,"DOE report to the 2026 Legislature, Table 6","Dollars = share x total"
Hawaii State Department of Education (school meals),inst:doe,Ham Produce and Seafood Inc.,vendor:ham-produce,Honolulu,15003,Local fresh produce,SY 2024-25,2025,0.99,77363171.08,765895,"DOE report to the 2026 Legislature, Table 7","Dollars = share x total"
Hawaii State Department of Education (school meals),inst:doe,Watanabe Vegetable Processing LLC,vendor:watanabe,Waipahu,15003,Local fresh produce,SY 2024-25,2025,0.73,77363171.08,564751,"DOE report to the 2026 Legislature, Table 7","Dollars = share x total"
Hawaii State Department of Education (school meals),inst:doe,Hilo Products Inc.,vendor:hilo-products,Hilo,15001,Local fresh produce,SY 2024-25,2025,0.51,77363171.08,394552,"DOE report to the 2026 Legislature, Table 7","Dollars = share x total"
Hawaii State Department of Education (school meals),inst:doe,Esaki's Produce,vendor:esakis,Kapaa,15007,Local fresh produce,SY 2024-25,2025,0.11,77363171.08,85099,"DOE report to the 2026 Legislature, Table 7","Dollars = share x total"
Hawaii State Department of Education (school meals),inst:doe,Palama Meat Co. Inc.,vendor:palama-meat,Honolulu,15003,Local ground beef,SY 2023-24,2024,1.93,82018139.62,1582950,"DOE report to the 2025 Legislature, Table 6","Dollars = share x total"
Hawaii State Department of Education (school meals),inst:doe,Y. Hata & Co. Ltd.,vendor:y-hata,Honolulu,15003,Local ground beef,SY 2023-24,2024,0.78,82018139.62,639741,"DOE report to the 2025 Legislature, Table 6","Dollars = share x total"
Hawaii State Department of Education (school meals),inst:doe,Maui Cattle Company LLC,vendor:maui-cattle,Kahului,15009,Local ground beef,SY 2023-24,2024,0.29,82018139.62,237853,"DOE report to the 2025 Legislature, Table 6","Dollars = share x total"
Hawaii State Department of Education (school meals),inst:doe,Ham Produce and Seafood Inc.,vendor:ham-produce,Honolulu,15003,Local fresh produce,SY 2023-24,2024,0.70,82018139.62,574127,"DOE report to the 2025 Legislature, Table 7","Dollars = share x total"
Hawaii State Department of Education (school meals),inst:doe,Watanabe Vegetable Processing LLC,vendor:watanabe,Waipahu,15003,Local fresh produce,SY 2023-24,2024,0.62,82018139.62,508512,"DOE report to the 2025 Legislature, Table 7","Dollars = share x total"
Hawaii State Department of Education (school meals),inst:doe,Hilo Products Inc.,vendor:hilo-products,Hilo,15001,Local fresh produce,SY 2023-24,2024,0.43,82018139.62,352678,"DOE report to the 2025 Legislature, Table 7","Dollars = share x total"
Hawaii State Department of Education (school meals),inst:doe,Esaki's Produce,vendor:esakis,Kapaa,15007,Local fresh produce,SY 2023-24,2024,0.07,82018139.62,57413,"DOE report to the 2025 Legislature, Table 7","Dollars = share x total"
Hawaii State Department of Education (school meals),inst:doe,Other Maui produce vendors,vendor:other-maui-produce,Wailuku,15009,Local fresh produce,SY 2023-24,2024,0.01,82018139.62,8202,"DOE report to the 2025 Legislature, Table 7","Dollars = share x total; vendors not named"
