from,to,direction,relationship,description,source
Transforming Hawaii's Food System Together,UH West Oahu Ke O Mau Center,directed,Membership,Priority project of the Ke O Mau Center within the University of Hawaii System.,A.1 assessment 3.5
Hawaii Public Health Institute,Transforming Hawaii's Food System Together,directed,Fiscal sponsorship,HIPHI manages the initiative's fiscal activities.,A.1 assessment 3.5
UH West Oahu Ke O Mau Center,Hawaii Green Growth,directed,Data sharing,Suggested metrics and the indicator system contributed to the Aloha+ Dashboard.,Convening notes; A.1 assessment 3.4
Hawaii Investment Ready,Maui Nui Food Alliance,mutual,Collaborative Program,2022 to 2023 statewide Food System Needs Assessment.,Convening notes
Hawaii Investment Ready,Hawaii Public Health Institute,mutual,Collaborative Program,2022 to 2023 statewide Food System Needs Assessment.,Convening notes
Maui County Department of Agriculture,Maui Food Bank,mutual,Data sharing,Quarterly food security tracking in Maui County.,Convening notes
Maui County Department of Agriculture,Maui Nui Food Alliance,mutual,Collaborative Program,Food System Needs Assessment partner.,Convening notes
Hawaii Good Food Alliance,UH College of Tropical Agriculture and Human Resilience,mutual,Collaborative Program,Research partnership.,Convening notes
Hawaii Good Food Alliance,Hawaii Farmers Union United,mutual,Membership,Alliance network partner.,Convening notes (HFU)
Hawaii Good Food Alliance,Oahu Resource Conservation and Development Council,mutual,Collaborative Program,Alliance network partner in program analysis.,Convening notes (ORCD)
Hawaii Good Food Alliance,City and County of Honolulu,mutual,Collaborative Program,Office of Economic Revitalization and OCCSR named among Alliance partners.,Convening notes
Hawaii Data Collaborative,Hawaii Foodbank,mutual,Data sharing,Service Insights (Neighbor Connector) intake partnership.,A.1 assessment 3.6
Aloha United Way,Hawaii Data Collaborative,directed,Data sharing,211 request data surfaced through the Collaborative's dashboard.,A.1 assessment 3.8
Aloha United Way,Maui County Department of Agriculture,directed,Data sharing,Maui food security StoryMap built on 211 and ALICE data.,A.1 assessment 3.3
Feeding America,Hawaii Foodbank,directed,Food supply,Hawaii Foodbank is the state partner; food and funding recorded on Schedule I.,990 filings; A.1 assessment 3.7
Hawaii Foodbank,Maui Food Bank,mutual,Collaborative Program,Co-commission the State of Food Insecurity in Hawaii survey.,A.1 assessment 3.7
Hawaii Foodbank,The Food Basket,mutual,Collaborative Program,Co-commission the State of Food Insecurity in Hawaii survey.,A.1 assessment 3.7
Office of Community Services,Hawaii Foodbank,directed,Contract,TEFAP eligible recipient agency for Honolulu and Kauai; administrative funds and USDA food.,OCS TEFAP page; audits
Office of Community Services,Maui Food Bank,directed,Contract,TEFAP eligible recipient agency for Maui County.,OCS TEFAP page; audits
Office of Community Services,The Food Basket,directed,Contract,TEFAP eligible recipient agency for Hawaii County.,OCS TEFAP page; audits
Supersistence,Hawaii Farmers Union United,directed,Consulting / Technical Support,Public bill-tracking system.,A.1 assessment 3.11
Supersistence,Hawaii Good Food Alliance,directed,Consulting / Technical Support,2023 Advocacy Landscape Assessment.,A.1 assessment 3.11
Supersistence,County of Hawaii Department of Research and Development,directed,Consulting / Technical Support,Agrifood System Plan data component and value chain dashboard update.,A.1 assessment 3.3
Supersistence,City and County of Honolulu,directed,Consulting / Technical Support,2024 review of local purchasing by county departments.,A.1 assessment 3.11
Supersistence,Oahu Resource Conservation and Development Council,directed,Consulting / Technical Support,Data Stewards landscape assessment and the tracking plan and platform to follow.,A.1 assessment
Purple Maia,GoFarm Hawaii,mutual,Collaborative Program,Land-back-to-production cohort.,Convening notes
Purple Maia,Nation of Hawaii,mutual,Collaborative Program,Land-back-to-production cohort.,Convening notes
GoFarm Hawaii,Nation of Hawaii,mutual,Collaborative Program,Land-back-to-production cohort.,Convening notes
GoFarm Hawaii,Oahu Resource Conservation and Development Council,mutual,Collaborative Program,Land access survey with the statewide initiative.,Notes synthesis
Department of Agriculture and Biosecurity,Department of Business Economic Development and Tourism,mutual,Data sharing,Census of Agriculture and NASS series feed the Agriculture Sector Dashboard.,A.1 assessment 3.1
Hawaii Green Growth,Maui County Department of Agriculture,mutual,Membership,Aloha+ is jointly led by the State and the four counties.,A.1 assessment 3.9
Hawaii Green Growth,County of Hawaii Department of Research and Development,mutual,Membership,Aloha+ is jointly led by the State and the four counties.,A.1 assessment 3.9
Hawaii Green Growth,City and County of Honolulu,mutual,Membership,Aloha+ is jointly led by the State and the four counties.,A.1 assessment 3.9
Oahu Resource Conservation and Development Council,Purple Maia,mutual,Membership,Data landscape convening participant.,Convening attendance
Oahu Resource Conservation and Development Council,Maui County Department of Agriculture,mutual,Membership,Data landscape convening participant.,Convening attendance
Oahu Resource Conservation and Development Council,Hawaii Investment Ready,mutual,Membership,Data landscape convening participant.,Convening attendance
Oahu Resource Conservation and Development Council,UH West Oahu Ke O Mau Center,mutual,Membership,Data landscape convening participant.,Convening attendance
Oahu Resource Conservation and Development Council,County of Hawaii Department of Research and Development,mutual,Membership,Data landscape convening participant.,Convening attendance
Oahu Resource Conservation and Development Council,Hawaii Green Growth,mutual,Membership,Invited to the data landscape convening.,Convening invitation
Oahu Resource Conservation and Development Council,Supersistence,mutual,Membership,Invited to the data landscape convening.,Convening invitation
Aloha Harvest,Hawaii Foodbank,mutual,Collaborative Program,Named together in the convening's circular-economy discussion; both distribute rescued and donated food on Oahu.,Convening notes
