level,fy,fy_end,entity,ein,measure,amount,source,note
state,2023,2023-09-30,Hawaii (USDA allocation to state agency),,tefap_entitlement_food,1711174,"USDA FNS FY2023 TEFAP Food and Administrative Funding memo (2023-02-08), Worksheet #3 (fns-prod.azureedge.us/.../fy23-tefap-funding-memo.pdf; Wayback copy in notes/)","$1,363,317 not convertible + $347,857 convertible to admin. Weighted index 0.3904% (unemployment 0.4266%, poverty 0.3663%). National entitlement food $349,200,179."
state,2023,2023-09-30,Hawaii (USDA allocation to state agency),,tefap_entitlement_carryover,310618,"same memo, Worksheet #3","FY2022 entitlement carried into FY2023; total available $2,021,792"
state,2023,2023-09-30,Hawaii (USDA allocation to state agency),,tefap_admin,359179,"same memo, Worksheet #2","$66,725 under the 77-day CR + $292,454 for the rest of the year. National admin $92,000,000."
state,2024,2024-09-30,Hawaii (USDA allocation to state agency),,tefap_entitlement_food,1613236,"USDA FNS FY2024 TEFAP Food and Administrative Funding memo (2024-04-19), Worksheet #6 (fns-prod.azureedge.us/.../FY2024TEFAPFoodandAdministrativeFundingMemorandum.pdf; Wayback copy in notes/)","$1,285,082 not convertible + $328,154 convertible. Weighted index 0.3555% (unemployment 0.3846%, poverty 0.3362%). National entitlement food $453,755,410."
state,2024,2024-09-30,Hawaii (USDA allocation to state agency),,tefap_entitlement_carryover,258099,"same memo, Worksheet #6","FY2023 food grants carried into FY2024; total available $1,871,335, which matches the $1,871,334.97 of USDA-donated TEFAP food the Office of Community Services reports receiving in FFY2024"
state,2024,2024-09-30,Hawaii (USDA allocation to state agency),,tefap_admin,284424,"same memo, Worksheet #5","Four CR tranches plus remaining allowance. National admin $80,000,000. The Office of Community Services reports $287,356 in FFY2024 administrative funds."
state,2024,2024-09-30,Hawaii (USDA allocation to state agency),,tefap_bonus_food_estimate,3400000,Estimate: national CCC/bonus TEFAP food FY2024 about $943M (FNS TEFAP fact sheet) x Hawaii weighted index 0.3555%,ESTIMATE. Bonus and CCC purchases are not allocated by state worksheet; shown as national total times Hawaii's index.
state,2025,2025-09-30,Hawaii (USDA allocation to state agency),,tefap_entitlement_food,1363317,"Hawaii Office of Community Services TEFAP page (labor.hawaii.gov/ocs, read 2026-09-20): USDA estimate of at least this much USDA-donated TEFAP food for FFY2025",Floor as stated by OCS; final worksheet not yet obtained
state,2025,2025-09-30,Hawaii (USDA allocation to state agency),,tefap_admin,287356,"Hawaii Office of Community Services TEFAP page (labor.hawaii.gov/ocs, read 2026-09-20)","FFY2025 administrative funding. OCS keeps $24,000 for inter-island shipping and $50,000 for its own administration; the rest goes to the four county food banks."
org,2025,2025-09-30,Hawaii Foodbank Inc (Honolulu ERA plus Kauai branch),990220699,tefap_admin_ocs_allocation,146298,"Hawaii Office of Community Services TEFAP page (labor.hawaii.gov/ocs, read 2026-09-20)","FFY2025 administrative funds: Honolulu 63.87% ($136,270.48) plus Kauai 4.70% ($10,027.73); the Kauai branch is part of Hawaii Foodbank Inc. Allocation by the state agency, not an audited expenditure; kept separate from the audit rows."
